"","stat","w.t50","alpha","beta","w.r2","trim"
"RMSE","RMSE",1.13,0.4,1.67,0.1,"yes"
"R2","R2",0.01,0.01,0.02,0.02,"yes"
"Avg.Bias","Avg.Bias",0.1,-0.07,0.17,-0.01,"yes"
"Max.Bias","Max.Bias",2.96,0.8,4.13,0.24,"yes"
"Skill","Skill",-36.33,-72.93,-44.42,-72.57,"yes"
"delta.RMSE","delta.RMSE",16.76,31.5,20.17,31.37,"yes"
"p","p",0.99,0.98,0.99,1,"yes"
"RMSE1","RMSE",0.99,0.34,1.44,0.08,"no"
"R21","R2",0.03,0,0.02,0,"no"
"Avg.Bias1","Avg.Bias",0.06,-0.04,0.12,0,"no"
"Max.Bias1","Max.Bias",2.83,0.82,4.07,0.24,"no"
"Skill1","Skill",-4.79,-19.91,-7.56,-18.15,"no"
"delta.RMSE1","delta.RMSE",2.37,9.5,3.71,8.7,"no"
"p1","p",0.64,0.84,0.65,0.87,"no"
