"","term","time13","time25","time37","time59","time7","source"
"Richness.1","(Intercept)","0.88 ***","0.57 ***","0.5 ***","0.37 ***","0.9 ***","Richness"
"Richness.2","sizesmall","-0.025 ","0.16 ","0.17 ","-0.15 ","-0.027 ","Richness"
"Richness.3","sizesmall:sub_rich","-0.00047 ","-0.0016 *","-0.0021 *","0.00068 ","-0.00012 ","Richness"
"Richness.4","sub_rich","0.00021 ","0.00088 ","0.00027 ","-0.00014 ","0.00035 ","Richness"
"Richness.5",NA,NA,NA,NA,NA,NA,"Richness"
"Richness.Fstat","Fstat","7.15","2.88","2.9","0.81","4.62","Richness"
"Richness.numdf","numdf","3","3","3","3","3","Richness"
"Richness.dendf","dendf","59","59","57","61","61","Richness"
"Richness.r.squared","r.squared","0.27","0.13","0.13","0.04","0.19","Richness"
"ShannonsH.1","(Intercept)","0.83 ***","0.38 **","0.24 ","0.19 ","0.86 ***","ShannonsH"
"ShannonsH.2","sizesmall","0.033 ","0.41 ","0.49 ","0.11 ","0.0089 ","ShannonsH"
"ShannonsH.3","sizesmall:sub_rich","-0.035 ","-0.14 *","-0.17 *","-0.05 ","-0.016 ","ShannonsH"
"ShannonsH.4","sub_rich","0.024 ","0.091 *","0.084 ","0.045 ","0.025 ","ShannonsH"
"ShannonsH.5",NA,NA,NA,NA,NA,NA,"ShannonsH"
"ShannonsH.Fstat","Fstat","7.13","2.98","2.41","0.82","3.99","ShannonsH"
"ShannonsH.numdf","numdf","3","3","3","3","3","ShannonsH"
"ShannonsH.dendf","dendf","59","59","57","61","61","ShannonsH"
"ShannonsH.r.squared","r.squared","0.27","0.13","0.11","0.04","0.16","ShannonsH"
"Sapro.rich.1","(Intercept)","0.88 ***","0.64 ***","0.51 ***","0.41 ***","0.92 ***","Sapro.rich"
"Sapro.rich.2","sizesmall","-0.029 ","0.079 ","0.13 ","-0.12 ","-0.004 ","Sapro.rich"
"Sapro.rich.3","sizesmall:sub_rich","-0.0072 ","-0.018 ","-0.027 ","0.0079 ","-0.0058 ","Sapro.rich"
"Sapro.rich.4","sub_rich","0.0044 ","0.0073 ","0.0032 ","-0.0091 ","0.0037 ","Sapro.rich"
"Sapro.rich.5",NA,NA,NA,NA,NA,NA,"Sapro.rich"
"Sapro.rich.Fstat","Fstat","7.33","1.99","2.15","0.93","3.91","Sapro.rich"
"Sapro.rich.numdf","numdf","3","3","3","3","3","Sapro.rich"
"Sapro.rich.dendf","dendf","59","59","57","61","61","Sapro.rich"
"Sapro.rich.r.squared","r.squared","0.27","0.09","0.1","0.04","0.16","Sapro.rich"
"Basidio.rich.1","(Intercept)","0.87 ***","0.66 ***","0.51 ***","0.34 ***","0.93 ***","Basidio.rich"
"Basidio.rich.2","sizesmall","-0.061 ","0.028 ","0.019 ","-0.094 ","-0.052 ","Basidio.rich"
"Basidio.rich.3","sizesmall:sub_rich","-0.0016 ","-0.0062 ","-0.0075 ","0.0026 ","0.00041 ","Basidio.rich"
"Basidio.rich.4","sub_rich","0.0024 ","0.0026 ","0.0018 ","0.00027 ","0.00096 ","Basidio.rich"
"Basidio.rich.5",NA,NA,NA,NA,NA,NA,"Basidio.rich"
"Basidio.rich.Fstat","Fstat","7.41","1.46","1.25","0.71","3.61","Basidio.rich"
"Basidio.rich.numdf","numdf","3","3","3","3","3","Basidio.rich"
"Basidio.rich.dendf","dendf","59","59","57","61","61","Basidio.rich"
"Basidio.rich.r.squared","r.squared","0.27","0.07","0.06","0.03","0.15","Basidio.rich"
"Patho.rich.1","(Intercept)","0.89 ***","0.63 ***","0.44 ***","0.39 ***","0.94 ***","Patho.rich"
"Patho.rich.2","sizesmall","-0.029 ","0.061 ","0.17 ","-0.15 ","-0.061 ","Patho.rich"
"Patho.rich.3","sizesmall:sub_rich","-0.0076 ","-0.016 ","-0.035 *","0.012 ","0.0019 ","Patho.rich"
"Patho.rich.4","sub_rich","0.0026 ","0.0089 ","0.012 ","-0.0052 ","0.0016 ","Patho.rich"
"Patho.rich.5",NA,NA,NA,NA,NA,NA,"Patho.rich"
"Patho.rich.Fstat","Fstat","7.43","1.89","3.24","0.87","3.77","Patho.rich"
"Patho.rich.numdf","numdf","3","3","3","3","3","Patho.rich"
"Patho.rich.dendf","dendf","59","59","57","61","61","Patho.rich"
"Patho.rich.r.squared","r.squared","0.27","0.09","0.15","0.04","0.16","Patho.rich"
"Oomy.rich.1","(Intercept)","0.91 ***","0.7 ***","0.54 ***","0.35 ***","0.95 ***","Oomy.rich"
"Oomy.rich.2","sizesmall","-0.084 ***","-0.054 ","-0.078 ","-0.062 ","-0.048 **","Oomy.rich"
"Oomy.rich.3",NA,NA,NA,NA,NA,NA,"Oomy.rich"
"Oomy.rich.Fstat","Fstat","20.4","2.83","2.65","1.9","10.05","Oomy.rich"
"Oomy.rich.numdf","numdf","1","1","1","1","1","Oomy.rich"
"Oomy.rich.dendf","dendf","61","61","59","63","63","Oomy.rich"
"Oomy.rich.r.squared","r.squared","0.25","0.04","0.04","0.03","0.14","Oomy.rich"
