"","community","respVar","n.asvs1","n.samples1","comp1.p","comp1.signif","comp1.r2","slice"
"1","all","alpha",1969,12,0.237,FALSE,0.15712785048298,"C2"
"2","all","beta",1969,12,0.928,FALSE,0.00573234933193094,"C2"
"3","all","w.r2",1969,12,0.606,FALSE,0.0155311488371466,"C2"
"4","all","w.t50",1969,12,0.951,FALSE,0.0344674620479393,"C2"
"5","basid","alpha",287,12,0.767,FALSE,0.0185491064699475,"C2"
"6","basid","beta",287,12,0.851,FALSE,0.00461449403575098,"C2"
"7","basid","w.r2",287,12,0.997,FALSE,0.113776883233957,"C2"
"8","basid","w.t50",287,12,0.836,FALSE,0.0077516875824201,"C2"
"9","oo","alpha",4,2,NA,NA,NA,"C2"
"10","oo","beta",4,2,NA,NA,NA,"C2"
"11","oo","w.r2",4,2,NA,NA,NA,"C2"
"12","oo","w.t50",4,2,NA,NA,NA,"C2"
"13","patho","alpha",72,12,0.771,FALSE,0.00042494449979985,"C2"
"14","patho","beta",72,12,0.145,FALSE,0.229563094488593,"C2"
"15","patho","w.r2",72,12,0.898,FALSE,3.97238464921304e-05,"C2"
"16","patho","w.t50",72,12,0.253,FALSE,0.21592854117408,"C2"
"17","sapro","alpha",95,12,0.992,FALSE,0.0384101030652031,"C2"
"18","sapro","beta",95,12,0.577,FALSE,0.0977297659613056,"C2"
"19","sapro","w.r2",95,12,0.863,FALSE,0.00323828306441727,"C2"
"20","sapro","w.t50",95,12,0.527,FALSE,0.102233532076905,"C2"
