"","term","alpha","beta","w.r2","w.t50","source"
"Richness.1","(Intercept)","1.1 **","5 **","0.82 ***","3.5 **","Richness"
"Richness.2","mean","0.0025 ","-0.0011 ","0.00048 ","0.0018 ","Richness"
"Richness.3","sizesmall","-0.51 ","0.049 ","-0.027 ","-0.058 ","Richness"
"Richness.4","sizesmall:mean","0.0024 ","-0.007 ","-7.5e-05 ","-0.0054 ","Richness"
"Richness.5",NA,NA,NA,NA,NA,"Richness"
"Richness.6","Fstat","5.70","1.80","1.31","2.51","Richness"
"Richness.7","numdf","3","3","3","3","Richness"
"Richness.8","dendf","29","29","29","29","Richness"
"Richness.9","r.squared","0.37","0.16","0.12","0.21","Richness"
"ShannonsH.1","(Intercept)","1.5 *","1.7 ","0.77 ***","0.92 ","ShannonsH"
"ShannonsH.2","mean","-0.013 ","0.91 ","0.037 ","0.81 ","ShannonsH"
"ShannonsH.3","sizesmall","-1.4 ","4.8 ","-0.049 ","3.2 ","ShannonsH"
"ShannonsH.4","sizesmall:mean","0.35 ","-1.6 ","0.0016 ","-1.2 ","ShannonsH"
"ShannonsH.5",NA,NA,NA,NA,NA,"ShannonsH"
"ShannonsH.6","Fstat","2.96","2.19","1.34","3.21","ShannonsH"
"ShannonsH.7","numdf","3","3","3","3","ShannonsH"
"ShannonsH.8","dendf","29","29","29","29","ShannonsH"
"ShannonsH.9","r.squared","0.23","0.18","0.12","0.25","ShannonsH"
"Sapro.rich.1","(Intercept)","0.96 **","6.5 ***","0.84 ***","4.7 ***","Sapro.rich"
"Sapro.rich.2","mean","0.074 ","-0.23 ","0.0069 ","-0.13 ","Sapro.rich"
"Sapro.rich.3","sizesmall","-0.18 ","-1.6 ","0.0034 ","-1.2 ","Sapro.rich"
"Sapro.rich.4","sizesmall:mean","-0.017 ","0.13 ","-0.0061 ","0.069 ","Sapro.rich"
"Sapro.rich.5",NA,NA,NA,NA,NA,"Sapro.rich"
"Sapro.rich.6","Fstat","4.36","2.24","0.83","3.02","Sapro.rich"
"Sapro.rich.7","numdf","3","3","3","3","Sapro.rich"
"Sapro.rich.8","dendf","29","29","29","29","Sapro.rich"
"Sapro.rich.9","r.squared","0.31","0.19","0.08","0.24","Sapro.rich"
"Basidio.rich.1","(Intercept)","1.3 ***","4.4 **","0.87 ***","3.2 **","Basidio.rich"
"Basidio.rich.2","mean","0.0083 ","0.028 ","0.0015 ","0.03 ","Basidio.rich"
"Basidio.rich.3","sizesmall","-0.66 ","-0.014 ","-0.04 ","-0.28 ","Basidio.rich"
"Basidio.rich.4","sizesmall:mean","0.028 ","-0.056 ","7.1e-05 ","-0.034 ","Basidio.rich"
"Basidio.rich.5",NA,NA,NA,NA,NA,"Basidio.rich"
"Basidio.rich.6","Fstat","4.37","1.45","0.81","2.39","Basidio.rich"
"Basidio.rich.7","numdf","3","3","3","3","Basidio.rich"
"Basidio.rich.8","dendf","29","29","29","29","Basidio.rich"
"Basidio.rich.9","r.squared","0.31","0.13","0.08","0.20","Basidio.rich"
"Patho.rich.1","(Intercept)","1.2 ***","4.8 ***","0.82 ***","3.4 ***","Patho.rich"
"Patho.rich.2","mean","0.039 ","0.012 ","0.01 ","0.045 ","Patho.rich"
"Patho.rich.3","sizesmall","-0.37 ","0.33 ","-0.0032 ","0.12 ","Patho.rich"
"Patho.rich.4","sizesmall:mean","0.017 ","-0.15 ","-0.0056 ","-0.12 ","Patho.rich"
"Patho.rich.5",NA,NA,NA,NA,NA,"Patho.rich"
"Patho.rich.6","Fstat","4.46","2.18","1.56","2.90","Patho.rich"
"Patho.rich.7","numdf","3","3","3","3","Patho.rich"
"Patho.rich.8","dendf","29","29","29","29","Patho.rich"
"Patho.rich.9","r.squared","0.32","0.18","0.14","0.23","Patho.rich"
"Oomy.rich.1","(Intercept)","1.5 ***","4.8 ***","0.9 ***","3.7 ***","Oomy.rich"
"Oomy.rich.2","mean","-0.082 ","0.17 ","-0.031 ","0.12 ","Oomy.rich"
"Oomy.rich.3","sizesmall","-0.2 ","-0.83 ","-0.042 ","-0.75 ","Oomy.rich"
"Oomy.rich.4","sizesmall:mean","0.22 ","-0.75 ","0.016 ","-0.56 ","Oomy.rich"
"Oomy.rich.5",NA,NA,NA,NA,NA,"Oomy.rich"
"Oomy.rich.6","Fstat","0.84","1.47","0.91","2.48","Oomy.rich"
"Oomy.rich.7","numdf","3","3","3","3","Oomy.rich"
"Oomy.rich.8","dendf","29","29","29","29","Oomy.rich"
"Oomy.rich.9","r.squared","0.08","0.13","0.09","0.20","Oomy.rich"
