order,unique,drill,fruitingBodies ,insectDamage,typesInsects,notes 
2,BAAE25,yes,white mycellium,3,"springtails, slaters, tiny ants",
3,acel5f,yes,,0,,"intact, no rot"
8,ALLI111,yes,"tan mycellium, white fuzz",1,springtails,
17,acpa3e,yes,,1,springtails,
18,cota3a,yes,,,,"looked intact, but crumbled when handled"
25,acel5a,yes,,0,,"intact, no rot"
27,anba2j,yes,orange mycellium,3,springtails,
30,hase3i,yes,white mycellium,2,,"looked intact, but crumbled when handled"
33,eusc3j,yes,,3,,all wet weight excess
34,cota5b,yes,white mycellium,2,springtails,
37,cali2i,yes,white mycellium,0,,
42,lepa3a,yes,white fruit and mat,1,,
44,olst1e,yes,,,,
53,anba2f,yes,white fuzz,3,"springtails, worm",
54,PELI33,yes,white fruiting/orange,1,"springtails, tiny ants",
84,excu2j,yes,,1,,
85,JASC311,yes,hard grey/porous,0,,
89,mede1i,yes,,0,,
90,acpa4d,yes,,1,,no WWE
96,ALLI11,yes,bracket fungi at ends,1,springtails,
99,cota1d,yes,,,,most crumbled
103,eute2k,yes,white mycellium,1,,intact except hole in 1 end
111,basp1c,yes,,0,hairy caterpillar in bag,no WWE
116,baae2q,yes,white mycellium,1,,
122,basp1f,yes,white mycellium,1,tiny ants,
123,acpa3i,yes,,0,,
125,EUTE16,yes,white mycellium,2,,
131,olst2b,yes,brown mycellium at ends,,,bark all off
145,ANBA213,yes,,3,"mites, springtails",lots rotted away/found at ~178
148,pepu1a,yes,,1,,
150,eute2a,yes,white mycellium,2,,mostly rotted WWE
162,peli3c,yes,,3,,1/2 log rotted
168,anba3e,yes,,3,,only fragment intact
170,BAAE214,yes,white mycellium,3,tiny ants,
174,ripi1j,yes,,4,,completely rotted/no sample
178,alli1a,yes,,1,springtails,
181,BAAE28,yes,,3,,
185,ANBA315,yes,,3,,mostly rotted
192,mede3f,yes,,0,,
200,EXCU211,yes,cream mycellium,2,"roach, springtails",
204,cali1f,yes,,0,,
208,eute2b,yes,,,,all wet weight excess
215,acel2f,yes,,3,big slater,all wet weight excess
217,cota4d,no,white fuzz/brown hyphae,2,,
226,PEPU26,yes,orange,3,"beetle grub, medium ants",
235,PELI36,yes,white mycellium/orange fruit,3,tiny ants,
236,JASC117,yes,cream mycellium,2,slaters,
238,isan5i,yes,,3,"tiny ants and eggs, springtails",
248,ANBA17,yes,bright orange,3,springtails,
251,acel5d,no,white & brown hyphae,0,,"intact, no rot"
255,mede1j,yes,tan mycellium,2,tiny ants,
257,JASC116,yes,orange & mint green,2,"springtails, tiny ants",
261,EUTE28,yes,white mycellium,1,"springtails, tiny ants",
266,cali2k,yes,bright orange,2,"springtails, tiny ants",
268,pepu1b,yes,,,,intact but soft inside
270,PELI116,yes,bright orange mat/white,2,"tiny ants and eggs, springtails",
278,jasc1g,yes,,0,,
280,anba2b,no,brown hyphae,2,,only fragment intact
